iter	RMSE
0	0.01490426699
1	0.01488526435
2	0.01484510451
3	0.01483896886
4	0.01482893244
5	0.0148170855
6	0.01480253528
7	0.01479550303
8	0.01476640626
9	0.01476452843
10	0.01475346325
11	0.01473722968
12	0.01471751502
13	0.0147078103
14	0.01470203599
15	0.01469689673
16	0.01468767736
17	0.0146810881
18	0.01465846949
19	0.01465438581
20	0.01464756555
21	0.01464045178
22	0.0146371489
23	0.01461938774
24	0.01460480858
25	0.01459379791
26	0.01458195842
27	0.01457659572
28	0.01456568835
29	0.01455686086
30	0.01454519075
31	0.01451846338
32	0.01450727198
33	0.01449487354
34	0.01448765099
35	0.0144756459
36	0.01445998199
37	0.01444064486
38	0.01442862653
39	0.01442382346
40	0.01441521517
41	0.01439475013
42	0.01439029396
43	0.0143728887
44	0.01435972275
45	0.01434494793
46	0.01433092838
47	0.01431347654
48	0.01430240639
49	0.01429118789
